reef_no,replicate,perimeter_m,area_m2,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
20,1,139.27,1543.495214,NA,20210603,field,boat,NA,NA,transect tape,,
20,1,133,1407.645894,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,2,136.83,1489.885145,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,3,137.1,1495.770782,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
20,1,124.66,1236.643107,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,2,127.18,1287.145899,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,3,130.4,1353.148059,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
20,1,131,1365.628989,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,2,134.73,1444.504022,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,3,133.6,1420.375107,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
20,1,140.2,1564.177964,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,2,137.47,1503.855129,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,3,141.75,1598.955109,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (?),,
20,1,170,2299.788928,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,2,180,2578.310078,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,3,160,2037.183272,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
20,1,130,1344.859269,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,2,120,1145.91559,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,3,120,1145.91559,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
20,1,180,2578.310078,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,2,160,2037.183272,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,3,170,2299.788928,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
20,1,157,1961.505096,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
20,2,230,4209.648245,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
20,3,219,3816.615113,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,1,117.66,1101.660617,NA,20210603,field,boat,NA,NA,transect tape,,(e.g. 
22,1,113.95,1033.281836,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,2,112.97,1015.585271,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,3,114.16,1037.093844,0.15,20130115,imagery,GE,aerial,unknown,unknown,,
22,1,113.56,1026.221014,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,2,111.18,983.656521,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,3,109.83,959.9135081,0.5,20130822,imagery,GE,satellite,DigitalGlobe,WorldView-1/2,,
22,1,109.24,949.6280164,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,2,110.59,973.2442624,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,3,108.96,944.7661512,1,20110108,imagery,GE,satellite,DigitalGlobe,Ikonos,,
22,1,112.71,1010.915919,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,2,111.8,994.6579154,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,3,109.97,962.362266,2,20030412,imagery,GE,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth,,
22,1,110,962.8874057,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,2,110,962.8874057,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,3,120,1145.91559,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),,
22,1,110,962.8874057,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,2,90,644.5775195,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,3,100,795.7747155,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,,
22,1,170,2299.788928,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,2,130,1344.859269,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,3,160,2037.183272,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,,
22,1,172,2354.219918,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,2,208,3442.839729,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,
22,3,213,3610.350307,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,,